ID,Category,Status,LatencyMs,ToolsCalled,EstimatedTokens,EstimatedCost,ExpectedPass,ActuallyPassed,Error
tc001,sun_sign,PASS,48639,"geocode_city,compute_birth_chart",616,0.00036734999999999996,true,true,""
tc002,moon_sign,PASS,60874,"geocode_city,compute_birth_chart",851,0.0005061,true,true,""
tc003,rising_sign,PASS,59309,"geocode_city,compute_birth_chart",542,0.00032250000000000003,true,true,""
tc004,full_chart,ERROR,0,"",0,0,true,false,"fetch failed"
tc005,geocoding,PASS,77786,"geocode_city,compute_birth_chart",1997,0.0011919,true,true,""
tc006,invalid_date,PASS,13992,"",62,0.000030449999999999998,false,true,""
tc007,invalid_date,FAIL,6529,"",91,0.00004875,false,false,""
tc008,invalid_date,PASS,12079,"",189,0.00010619999999999999,false,true,""
tc009,retrograde,PASS,30381,"compute_birth_chart",166,0.0000951,true,true,""
tc010,planetary_placement,PASS,56013,"geocode_city,compute_birth_chart",1120,0.0006652499999999999,true,true,""
tc011,planetary_placement,PASS,91249,"geocode_city,compute_birth_chart",1604,0.00095835,true,true,""
tc012,houses,PASS,51305,"compute_birth_chart",887,0.0005268,true,true,""
tc013,interpretation,FAIL,33892,"",901,0.0005342999999999999,true,false,""
tc014,multi_turn,PASS,53267,"geocode_city,compute_birth_chart",1058,0.0006276,true,true,""
tc015,unknown_city,FAIL,28335,"geocode_city",78,0.00004095,false,false,""
tc016,midheaven,PASS,75774,"geocode_city,compute_birth_chart",1492,0.0008902499999999999,true,true,""
tc017,elements,PASS,30195,"geocode_city,compute_birth_chart",383,0.0002253,true,true,""
tc018,nodal_axis,PASS,37601,"geocode_city,compute_birth_chart",724,0.00043034999999999997,true,true,""
tc019,saturn,PASS,84364,"geocode_city,compute_birth_chart",1563,0.0009324,true,true,""
tc020,general,PASS,29946,"",1040,0.0006190499999999999,true,true,""
tc021,invalid_year,FAIL,6916,"",88,0.000046949999999999996,false,false,""
tc022,future_date,FAIL,8208,"",101,0.00005655,false,false,""
tc023,compatibility,FAIL,40469,"",930,0.0005517,true,false,""
tc024,timing,ERROR,60012,"geocode_city,compute_birth_chart",15,0.00000225,true,false,""
tc025,special_placements,PASS,86517,"geocode_city,compute_birth_chart",518,0.0003045,true,true,""
